student_ID,gender ,student_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,mean,median,standard_deviation,maximum,minimum,total_score,status(P/F),overall_performance
1,female,group B,bachelor's degree,standard,Incomplete,72,72,74,72.7,72.0,1.15,74,72,218,Pass,Good
2,female,group C,partial college,standard,completed,69,90,88,82.3,88.0,11.59,90,69,247,Pass,Good
3,female,group B,master's degree,standard,Incomplete,90,95,93,92.7,93.0,2.52,95,90,278,Pass,Excellent
4,male,group A,associate's degree,reduced,Incomplete,47,57,44,49.3,47.0,6.81,57,44,148,Pass,Average
5,male,group C,partial college,standard,Incomplete,76,78,75,76.3,76.0,1.53,78,75,229,Pass,Good
6,female,group B,associate's degree,standard,Incomplete,71,83,78,77.3,78.0,6.03,83,71,232,Pass,Good
7,female,group B,partial college,standard,completed,88,95,92,91.7,92.0,3.51,95,88,275,Pass,Excellent
8,male,group B,partial college,reduced,Incomplete,40,43,39,40.7,40.0,2.08,43,39,122,Fail,Poor
9,male,group D,high school,reduced,completed,64,64,67,65.0,64.0,1.73,67,64,195,Pass,Average
10,female,group B,high school,reduced,Incomplete,38,60,50,49.3,50.0,11.02,60,38,148,Fail,Average
11,male,group C,associate's degree,standard,Incomplete,58,54,52,54.7,54.0,3.06,58,52,164,Pass,Average
12,male,group D,associate's degree,standard,Incomplete,40,52,43,45.0,43.0,6.24,52,40,135,Pass,Average
13,female,group B,high school,standard,Incomplete,65,81,73,73.0,73.0,8.00,81,65,219,Pass,Good
14,male,group A,partial college,standard,completed,78,72,70,73.3,72.0,4.16,78,70,220,Pass,Good
15,female,group A,master's degree,standard,Incomplete,50,53,58,53.7,53.0,4.04,58,50,161,Pass,Average
16,female,group C,partial high school,standard,Incomplete,69,75,78,74.0,75.0,4.58,78,69,222,Pass,Good
17,male,group C,high school,standard,Incomplete,88,89,86,87.7,88.0,1.53,89,86,263,Pass,Excellent
18,female,group B,partial high school,reduced,Incomplete,18,32,28,26.0,28.0,7.21,32,18,78,Fail,Poor
19,male,group C,master's degree,reduced,completed,46,42,46,44.7,46.0,2.31,46,42,134,Pass,Average
20,female,group C,associate's degree,reduced,Incomplete,54,58,61,57.7,58.0,3.51,61,54,173,Pass,Average
21,male,group D,high school,standard,Incomplete,66,69,63,66.0,66.0,3.00,69,63,198,Pass,Average
22,female,group B,partial college,reduced,completed,65,75,70,70.0,70.0,5.00,75,65,210,Pass,Good
23,male,group D,partial college,standard,Incomplete,44,54,53,50.3,53.0,5.51,54,44,151,Pass,Average
24,female,group C,partial high school,standard,Incomplete,69,73,73,71.7,73.0,2.31,73,69,215,Pass,Good
25,male,group D,bachelor's degree,reduced,completed,74,71,80,75.0,74.0,4.58,80,71,225,Pass,Good
26,male,group A,master's degree,reduced,Incomplete,73,74,72,73.0,73.0,1.00,74,72,219,Pass,Good
